product,product_name,direction,sequence_no,node_name,node_character,price_formation_mode,purchase_cost_per_lot,value_added_cost_per_lot,variable_cost_per_lot,fixed_cost_per_week,fixed_cost_per_lot,logistics_cost_per_lot,inventory_handling_cost_per_lot,tax_rate,tax_tariff_cost_per_lot,target_profit_per_lot,ship_price_per_lot,inventory_unit_value_per_lot,revenue,purchase_amount,variable_cost,fixed_cost,tax_cost,profit,ending_inventory_value,inventory_value,remarks
IPHONE_NM_2028_PRO,IPHONE_NM_2028_PRO,unknown,28,CS_IN_ASPIRER,CS,explicit_ship_price,1080.0,0.0,230.0,120.0,120.0,0.0,0.0,0.0,0.0,0.0,1090.0,520.0,6602130.0,0.0,1393110.0,25440.0,0.0,2033940.0,0.0,0.0,
IPHONE_NM_2028_PRO,IPHONE_NM_2028_PRO,unknown,29,CS_JP_REPLACEMENT,CS,explicit_ship_price,1180.0,0.0,274.0,150.0,150.0,0.0,0.0,0.0,0.0,0.0,1190.0,605.0,5222910.0,0.0,1202586.0,31800.0,0.0,1333179.0,0.0,0.0,
IPHONE_NM_2028_PRO,IPHONE_NM_2028_PRO,unknown,30,CS_UK_MAINSTREAM,unknown,explicit_ship_price,1170.0,0.0,278.0,148.0,148.0,0.0,0.0,0.0,0.0,0.0,1210.0,615.0,5709990.0,0.0,1311882.0,31376.0,0.0,1464547.0,0.0,0.0,
IPHONE_NM_2028_PRO,IPHONE_NM_2028_PRO,unknown,31,CS_US_MAINSTREAM,unknown,explicit_ship_price,1160.0,0.0,270.0,140.0,140.0,0.0,0.0,0.0,0.0,0.0,1180.0,600.0,10859540.0,0.0,2484810.0,29680.0,0.0,2823250.0,0.0,0.0,
IPHONE_NM_2028_PRO,IPHONE_NM_2028_PRO,unknown,32,CS_US_PREMIUM,unknown,explicit_ship_price,1135.0,0.0,299.0,156.0,156.0,0.0,0.0,0.0,0.0,0.0,1299.0,650.0,14065572.0,0.0,3237572.0,33072.0,0.0,3756728.0,0.0,0.0,
IPHONE_NM_2028_PRO,IPHONE_NM_2028_PRO,unknown,33,DAD_FAS_AMER,unknown,explicit_ship_price,30.0,0.0,48.0,95.0,95.0,0.0,0.0,0.0,0.0,0.0,880.0,720.0,17627280.0,0.0,961488.0,20140.0,0.0,2223332.0,0.0,0.0,
IPHONE_NM_2028_PRO,IPHONE_NM_2028_PRO,unknown,34,DAD_FAS_APAC,DAD,explicit_ship_price,30.0,0.0,46.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,860.0,710.0,17003060.0,0.0,909466.0,19080.0,0.0,2037104.0,0.0,0.0,
IPHONE_NM_2028_PRO,IPHONE_NM_2028_PRO,unknown,35,DAD_FAS_EURO,unknown,explicit_ship_price,30.0,0.0,50.0,102.0,102.0,0.0,0.0,0.0,0.0,0.0,910.0,745.0,8594040.0,0.0,472200.0,21624.0,0.0,1064436.0,0.0,0.0,
IPHONE_NM_2028_PRO,IPHONE_NM_2028_PRO,unknown,36,MOM_final_assy_ASIA,MOM,explicit_ship_price,30.0,0.0,75.0,110.0,110.0,0.0,0.0,0.0,0.0,0.0,790.0,620.0,0.0,0.0,0.0,23320.0,0.0,-23320.0,0.0,0.0,
IPHONE_NM_2028_PRO,IPHONE_NM_2028_PRO,unknown,37,MOM_final_assy_EURO,MOM,explicit_ship_price,30.0,0.0,80.0,120.0,120.0,0.0,0.0,0.0,0.0,0.0,820.0,650.0,0.0,0.0,0.0,25440.0,0.0,-25440.0,0.0,0.0,
IPHONE_NM_2028_PRO,IPHONE_NM_2028_PRO,unknown,38,PAD_final_assy_ASIA,unknown,explicit_ship_price,790.0,0.0,42.0,65.0,65.0,0.0,0.0,0.0,0.0,0.0,600.0,430.0,0.0,0.0,0.0,13780.0,0.0,-13780.0,0.0,0.0,
IPHONE_NM_2028_PRO,IPHONE_NM_2028_PRO,unknown,39,PAD_final_assy_EURO,unknown,explicit_ship_price,820.0,0.0,45.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,630.0,455.0,0.0,0.0,0.0,14840.0,0.0,-14840.0,0.0,0.0,
IPHONE_NM_2028_PRO,IPHONE_NM_2028_PRO,unknown,40,RT_CN_ONLINE,unknown,explicit_ship_price,930.0,0.0,78.0,68.0,68.0,0.0,0.0,0.0,0.0,0.0,1140.0,910.0,10630500.0,0.0,727350.0,14416.0,0.0,1402984.0,0.0,0.0,
IPHONE_NM_2028_PRO,IPHONE_NM_2028_PRO,unknown,41,RT_DE_ONLINE,RT,explicit_ship_price,985.0,0.0,90.0,84.0,84.0,0.0,0.0,0.0,0.0,0.0,1190.0,975.0,5622750.0,0.0,425250.0,17808.0,0.0,572817.0,0.0,0.0,
IPHONE_NM_2028_PRO,IPHONE_NM_2028_PRO,unknown,42,RT_IN_ECOM,unknown,explicit_ship_price,930.0,0.0,65.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,1080.0,850.0,6541560.0,0.0,393705.0,12296.0,0.0,987109.0,0.0,0.0,
IPHONE_NM_2028_PRO,IPHONE_NM_2028_PRO,unknown,43,RT_JP_APPLE,unknown,explicit_ship_price,930.0,0.0,88.0,82.0,82.0,0.0,0.0,0.0,0.0,0.0,1180.0,960.0,5179020.0,0.0,386232.0,17384.0,0.0,561964.0,0.0,0.0,
IPHONE_NM_2028_PRO,IPHONE_NM_2028_PRO,unknown,44,RT_UK_CARRIER,unknown,explicit_ship_price,985.0,0.0,88.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0,1170.0,955.0,5521230.0,0.0,415272.0,16960.0,0.0,582353.0,0.0,0.0,
IPHONE_NM_2028_PRO,IPHONE_NM_2028_PRO,unknown,45,RT_US_CARRIER,unknown,explicit_ship_price,960.0,0.0,92.0,76.0,76.0,0.0,0.0,0.0,0.0,0.0,1160.0,955.0,10675480.0,0.0,846676.0,16112.0,0.0,1023827.0,0.0,0.0,
IPHONE_NM_2028_PRO,IPHONE_NM_2028_PRO,unknown,46,RT_US_ONLINE,unknown,explicit_ship_price,960.0,0.0,82.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,1135.0,935.0,12289780.0,0.0,887896.0,14840.0,0.0,1262864.0,0.0,0.0,
IPHONE_NM_2028_PRO,IPHONE_NM_2028_PRO,unknown,47,WS_APAC,WS,explicit_ship_price,860.0,0.0,54.0,72.0,72.0,0.0,0.0,0.0,0.0,0.0,930.0,815.0,18387030.0,0.0,1067634.0,15264.0,0.0,1190767.0,0.0,0.0,
IPHONE_NM_2028_PRO,IPHONE_NM_2028_PRO,unknown,48,WS_EU,WS,explicit_ship_price,910.0,0.0,58.0,84.0,84.0,0.0,0.0,0.0,0.0,0.0,985.0,865.0,9302340.0,0.0,547752.0,17808.0,0.0,567720.0,0.0,0.0,
IPHONE_NM_2028_PRO,IPHONE_NM_2028_PRO,unknown,49,WS_NA,unknown,explicit_ship_price,880.0,0.0,56.0,78.0,78.0,0.0,0.0,0.0,0.0,0.0,960.0,840.0,19229760.0,0.0,1121736.0,16536.0,0.0,1265448.0,0.0,0.0,
IPHONE_NM_2028_PRO,IPHONE_NM_2028_PRO,unknown,50,supply_point,SUPPLY_CHAIN_OFFICE,explicit_ship_price,0.0,0.0,6.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,1477380.0,0.0,295476.0,5088.0,0.0,1176816.0,0.0,0.0,
