product,product_name,direction,sequence_no,from_node,from_node_character,to_node,to_node_character,parent_ship_price_per_lot,child_purchase_cost_per_lot,child_ship_price_per_lot,propagated_purchase_cost_per_lot,purchase_cost_source,delta_parent_ship_to_child_purchase,delta_child_purchase_to_child_ship,child_price_formation_mode,edge_leadtime,edge_lot_size,edge_transport_mode,remarks
IPHONE_NM_2028_BASE,IPHONE_NM_2028_BASE,outbound,13,WS_EU,WS,RT_UK_CARRIER,unknown,735.0,735.0,830.0,735.0,propagated_from_parent_ship_price,0.0,95.0,explicit_ship_price,,,,
IPHONE_NM_2028_BASE,IPHONE_NM_2028_BASE,outbound,14,RT_UK_CARRIER,unknown,CS_UK_MAINSTREAM,unknown,830.0,830.0,930.0,830.0,propagated_from_parent_ship_price,0.0,100.0,explicit_ship_price,,,,
IPHONE_NM_2028_BASE,IPHONE_NM_2028_BASE,outbound,15,RT_DE_ONLINE,RT,CS_DE_PREMIUM,CS,850.0,850.0,1010.0,850.0,propagated_from_parent_ship_price,0.0,160.0,explicit_ship_price,,,,
IPHONE_NM_2028_BASE,IPHONE_NM_2028_BASE,outbound,16,DAD_FAS_AMER,unknown,WS_NA,unknown,650.0,650.0,720.0,650.0,propagated_from_parent_ship_price,0.0,70.0,explicit_ship_price,,,,
IPHONE_NM_2028_BASE,IPHONE_NM_2028_BASE,outbound,17,WS_NA,unknown,RT_US_ONLINE,unknown,720.0,720.0,800.0,720.0,propagated_from_parent_ship_price,0.0,80.0,explicit_ship_price,,,,
IPHONE_NM_2028_BASE,IPHONE_NM_2028_BASE,outbound,18,WS_NA,unknown,RT_US_CARRIER,unknown,720.0,720.0,820.0,720.0,propagated_from_parent_ship_price,0.0,100.0,explicit_ship_price,,,,
IPHONE_NM_2028_BASE,IPHONE_NM_2028_BASE,outbound,19,RT_US_CARRIER,unknown,CS_US_MAINSTREAM,unknown,820.0,820.0,899.0,820.0,propagated_from_parent_ship_price,0.0,79.0,explicit_ship_price,,,,
IPHONE_NM_2028_BASE,IPHONE_NM_2028_BASE,outbound,20,RT_US_ONLINE,unknown,CS_US_PREMIUM,unknown,800.0,800.0,999.0,800.0,propagated_from_parent_ship_price,0.0,199.0,explicit_ship_price,,,,
IPHONE_NM_2028_PRO,IPHONE_NM_2028_PRO,outbound,1,supply_point,SUPPLY_CHAIN_OFFICE,DAD_FAS_AMER,unknown,30.0,30.0,880.0,30.0,propagated_from_parent_ship_price,0.0,850.0,explicit_ship_price,,,,
IPHONE_NM_2028_PRO,IPHONE_NM_2028_PRO,outbound,2,supply_point,SUPPLY_CHAIN_OFFICE,DAD_FAS_EURO,unknown,30.0,30.0,910.0,30.0,propagated_from_parent_ship_price,0.0,880.0,explicit_ship_price,,,,
IPHONE_NM_2028_PRO,IPHONE_NM_2028_PRO,outbound,3,supply_point,SUPPLY_CHAIN_OFFICE,DAD_FAS_APAC,DAD,30.0,30.0,860.0,30.0,propagated_from_parent_ship_price,0.0,830.0,explicit_ship_price,,,,
IPHONE_NM_2028_PRO,IPHONE_NM_2028_PRO,outbound,4,DAD_FAS_APAC,DAD,WS_APAC,WS,860.0,860.0,930.0,860.0,propagated_from_parent_ship_price,0.0,70.0,explicit_ship_price,,,,
IPHONE_NM_2028_PRO,IPHONE_NM_2028_PRO,outbound,5,WS_APAC,WS,RT_JP_APPLE,unknown,930.0,930.0,1180.0,930.0,propagated_from_parent_ship_price,0.0,250.0,explicit_ship_price,,,,
IPHONE_NM_2028_PRO,IPHONE_NM_2028_PRO,outbound,6,WS_APAC,WS,RT_IN_ECOM,unknown,930.0,930.0,1080.0,930.0,propagated_from_parent_ship_price,0.0,150.0,explicit_ship_price,,,,
IPHONE_NM_2028_PRO,IPHONE_NM_2028_PRO,outbound,7,WS_APAC,WS,RT_CN_ONLINE,unknown,930.0,930.0,1140.0,930.0,propagated_from_parent_ship_price,0.0,210.0,explicit_ship_price,,,,
IPHONE_NM_2028_PRO,IPHONE_NM_2028_PRO,outbound,8,RT_CN_ONLINE,unknown,CS_CN_PREMIUM,CS,1140.0,1140.0,1249.0,1140.0,propagated_from_parent_ship_price,0.0,109.0,explicit_ship_price,,,,
IPHONE_NM_2028_PRO,IPHONE_NM_2028_PRO,outbound,9,RT_IN_ECOM,unknown,CS_IN_ASPIRER,CS,1080.0,1080.0,1090.0,1080.0,propagated_from_parent_ship_price,0.0,10.0,explicit_ship_price,,,,
IPHONE_NM_2028_PRO,IPHONE_NM_2028_PRO,outbound,10,RT_JP_APPLE,unknown,CS_JP_REPLACEMENT,CS,1180.0,1180.0,1190.0,1180.0,propagated_from_parent_ship_price,0.0,10.0,explicit_ship_price,,,,
IPHONE_NM_2028_PRO,IPHONE_NM_2028_PRO,outbound,11,DAD_FAS_EURO,unknown,WS_EU,WS,910.0,910.0,985.0,910.0,propagated_from_parent_ship_price,0.0,75.0,explicit_ship_price,,,,
IPHONE_NM_2028_PRO,IPHONE_NM_2028_PRO,outbound,12,WS_EU,WS,RT_DE_ONLINE,RT,985.0,985.0,1190.0,985.0,propagated_from_parent_ship_price,0.0,205.0,explicit_ship_price,,,,
IPHONE_NM_2028_PRO,IPHONE_NM_2028_PRO,outbound,13,WS_EU,WS,RT_UK_CARRIER,unknown,985.0,985.0,1170.0,985.0,propagated_from_parent_ship_price,0.0,185.0,explicit_ship_price,,,,
IPHONE_NM_2028_PRO,IPHONE_NM_2028_PRO,outbound,14,RT_UK_CARRIER,unknown,CS_UK_MAINSTREAM,unknown,1170.0,1170.0,1210.0,1170.0,propagated_from_parent_ship_price,0.0,40.0,explicit_ship_price,,,,
IPHONE_NM_2028_PRO,IPHONE_NM_2028_PRO,outbound,15,RT_DE_ONLINE,RT,CS_DE_PREMIUM,CS,1190.0,1190.0,1319.0,1190.0,propagated_from_parent_ship_price,0.0,129.0,explicit_ship_price,,,,
IPHONE_NM_2028_PRO,IPHONE_NM_2028_PRO,outbound,16,DAD_FAS_AMER,unknown,WS_NA,unknown,880.0,880.0,960.0,880.0,propagated_from_parent_ship_price,0.0,80.0,explicit_ship_price,,,,
IPHONE_NM_2028_PRO,IPHONE_NM_2028_PRO,outbound,17,WS_NA,unknown,RT_US_ONLINE,unknown,960.0,960.0,1135.0,960.0,propagated_from_parent_ship_price,0.0,175.0,explicit_ship_price,,,,
IPHONE_NM_2028_PRO,IPHONE_NM_2028_PRO,outbound,18,WS_NA,unknown,RT_US_CARRIER,unknown,960.0,960.0,1160.0,960.0,propagated_from_parent_ship_price,0.0,200.0,explicit_ship_price,,,,
IPHONE_NM_2028_PRO,IPHONE_NM_2028_PRO,outbound,19,RT_US_CARRIER,unknown,CS_US_MAINSTREAM,unknown,1160.0,1160.0,1180.0,1160.0,propagated_from_parent_ship_price,0.0,20.0,explicit_ship_price,,,,
IPHONE_NM_2028_PRO,IPHONE_NM_2028_PRO,outbound,20,RT_US_ONLINE,unknown,CS_US_PREMIUM,unknown,1135.0,1135.0,1299.0,1135.0,propagated_from_parent_ship_price,0.0,164.0,explicit_ship_price,,,,
IPHONE_NM_2028_BASE,IPHONE_NM_2028_BASE,inbound,1,supply_point,SUPPLY_CHAIN_OFFICE,MOM_final_assy_ASIA,MOM,20.0,20.0,560.0,20.0,propagated_from_parent_ship_price,0.0,540.0,explicit_ship_price,,,,
IPHONE_NM_2028_BASE,IPHONE_NM_2028_BASE,inbound,2,supply_point,SUPPLY_CHAIN_OFFICE,MOM_final_assy_EURO,MOM,20.0,20.0,590.0,20.0,propagated_from_parent_ship_price,0.0,570.0,explicit_ship_price,,,,
IPHONE_NM_2028_BASE,IPHONE_NM_2028_BASE,inbound,3,MOM_final_assy_EURO,MOM,PAD_final_assy_EURO,unknown,590.0,590.0,455.0,590.0,propagated_from_parent_ship_price,0.0,-135.0,explicit_ship_price,,,,
IPHONE_NM_2028_BASE,IPHONE_NM_2028_BASE,inbound,4,MOM_final_assy_ASIA,MOM,PAD_final_assy_ASIA,unknown,560.0,560.0,430.0,560.0,propagated_from_parent_ship_price,0.0,-130.0,explicit_ship_price,,,,
IPHONE_NM_2028_PRO,IPHONE_NM_2028_PRO,inbound,1,supply_point,SUPPLY_CHAIN_OFFICE,MOM_final_assy_ASIA,MOM,30.0,30.0,790.0,30.0,propagated_from_parent_ship_price,0.0,760.0,explicit_ship_price,,,,
IPHONE_NM_2028_PRO,IPHONE_NM_2028_PRO,inbound,2,supply_point,SUPPLY_CHAIN_OFFICE,MOM_final_assy_EURO,MOM,30.0,30.0,820.0,30.0,propagated_from_parent_ship_price,0.0,790.0,explicit_ship_price,,,,
IPHONE_NM_2028_PRO,IPHONE_NM_2028_PRO,inbound,3,MOM_final_assy_EURO,MOM,PAD_final_assy_EURO,unknown,820.0,820.0,630.0,820.0,propagated_from_parent_ship_price,0.0,-190.0,explicit_ship_price,,,,
IPHONE_NM_2028_PRO,IPHONE_NM_2028_PRO,inbound,4,MOM_final_assy_ASIA,MOM,PAD_final_assy_ASIA,unknown,790.0,790.0,600.0,790.0,propagated_from_parent_ship_price,0.0,-190.0,explicit_ship_price,,,,
