record_status,source_type,source_ref,confidence_level,owner_name,last_updated_at,remarks,node_id,node_name,node_type,node_role,parent_node_id,geo_id,lat,lon,country_code,currency_code,ownership_type,planning_enabled,visualization_enabled
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,ASM_VIETNAM_MAIN,Vietnam Main Assembly,ASSEMBLY_PLANT,SUPPLY,,COUNTRY_VN,21.0,105.8,VN,USD,EMS_PARTNER,Y,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,RH_NA,North America Hub,REGIONAL_HUB,INVENTORY,,REGION_NA,33.4,-112.0,US,USD,APPLE_DC,Y,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,RH_EU_WEST,Europe West Hub,REGIONAL_HUB,INVENTORY,,REGION_EU_WEST,52.3,4.9,NL,USD,APPLE_DC,Y,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,RH_INDIA,India Hub,REGIONAL_HUB,INVENTORY,,REGION_INDIA,19.1,72.9,IN,USD,APPLE_DC,Y,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,RH_CHINA,China Hub,REGIONAL_HUB,INVENTORY,,REGION_CHINA,31.2,121.5,CN,USD,APPLE_DC,Y,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,RH_JAPAN,Japan Hub,REGIONAL_HUB,INVENTORY,,REGION_JAPAN,35.7,139.7,JP,USD,APPLE_DC,Y,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,RH_SEA,SEA Hub,REGIONAL_HUB,INVENTORY,,REGION_SEA,1.35,103.82,SG,USD,APPLE_DC,Y,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,COUNTRY_NODE_US,United States Country Node,COUNTRY_DC,INVENTORY,,COUNTRY_US,37.1,-95.7,US,USD,APPLE_DC,Y,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,COUNTRY_NODE_CA,Canada Country Node,COUNTRY_DC,INVENTORY,,COUNTRY_CA,56.1,-106.3,CA,USD,APPLE_DC,Y,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,COUNTRY_NODE_MX,Mexico Country Node,COUNTRY_DC,INVENTORY,,COUNTRY_MX,23.6,-102.5,MX,USD,APPLE_DC,Y,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,COUNTRY_NODE_DE,Germany Country Node,COUNTRY_DC,INVENTORY,,COUNTRY_DE,51.2,10.4,DE,USD,APPLE_DC,Y,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,COUNTRY_NODE_FR,France Country Node,COUNTRY_DC,INVENTORY,,COUNTRY_FR,46.2,2.2,FR,USD,APPLE_DC,Y,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,COUNTRY_NODE_UK,United Kingdom Country Node,COUNTRY_DC,INVENTORY,,COUNTRY_UK,55.4,-3.4,GB,USD,APPLE_DC,Y,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,COUNTRY_NODE_IN,India Country Node,COUNTRY_DC,INVENTORY,,COUNTRY_IN,22.6,79.0,IN,USD,APPLE_DC,Y,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,COUNTRY_NODE_CN,China Country Node,COUNTRY_DC,INVENTORY,,COUNTRY_CN,35.9,104.2,CN,USD,APPLE_DC,Y,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,COUNTRY_NODE_JP,Japan Country Node,COUNTRY_DC,INVENTORY,,COUNTRY_JP,36.2,138.2,JP,USD,APPLE_DC,Y,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,COUNTRY_NODE_SG,Singapore Country Node,COUNTRY_DC,INVENTORY,,COUNTRY_SG,1.35,103.82,SG,USD,APPLE_DC,Y,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,COUNTRY_NODE_TH,Thailand Country Node,COUNTRY_DC,INVENTORY,,COUNTRY_TH,15.87,100.99,TH,USD,APPLE_DC,Y,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,COUNTRY_NODE_VN,Vietnam Country Node,COUNTRY_DC,INVENTORY,,COUNTRY_VN,14.06,108.28,VN,USD,APPLE_DC,Y,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CHANNEL_US_APPLE_ONLINE,US Apple Online,CHANNEL_NODE,SALES,,COUNTRY_US,37.1,-95.7,US,USD,CHANNEL,Y,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CHANNEL_US_CARRIER,US Carrier,CHANNEL_NODE,SALES,,COUNTRY_US,37.1,-95.7,US,USD,CHANNEL,Y,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CHANNEL_CA_APPLE_ONLINE,Canada Apple Online,CHANNEL_NODE,SALES,,COUNTRY_CA,56.1,-106.3,CA,USD,CHANNEL,Y,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CHANNEL_CA_CARRIER,Canada Carrier,CHANNEL_NODE,SALES,,COUNTRY_CA,56.1,-106.3,CA,USD,CHANNEL,Y,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CHANNEL_MX_LARGE_RETAIL,Mexico Large Retail,CHANNEL_NODE,SALES,,COUNTRY_MX,23.6,-102.5,MX,USD,CHANNEL,Y,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CHANNEL_MX_CARRIER,Mexico Carrier,CHANNEL_NODE,SALES,,COUNTRY_MX,23.6,-102.5,MX,USD,CHANNEL,Y,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CHANNEL_DE_APPLE_ONLINE,Germany Apple Online,CHANNEL_NODE,SALES,,COUNTRY_DE,51.2,10.4,DE,USD,CHANNEL,Y,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CHANNEL_DE_CARRIER,Germany Carrier,CHANNEL_NODE,SALES,,COUNTRY_DE,51.2,10.4,DE,USD,CHANNEL,Y,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CHANNEL_FR_APPLE_ONLINE,France Apple Online,CHANNEL_NODE,SALES,,COUNTRY_FR,46.2,2.2,FR,USD,CHANNEL,Y,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CHANNEL_FR_CARRIER,France Carrier,CHANNEL_NODE,SALES,,COUNTRY_FR,46.2,2.2,FR,USD,CHANNEL,Y,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CHANNEL_UK_APPLE_ONLINE,UK Apple Online,CHANNEL_NODE,SALES,,COUNTRY_UK,55.4,-3.4,GB,USD,CHANNEL,Y,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CHANNEL_UK_CARRIER,UK Carrier,CHANNEL_NODE,SALES,,COUNTRY_UK,55.4,-3.4,GB,USD,CHANNEL,Y,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CHANNEL_IN_LARGE_RETAIL,India Large Retail,CHANNEL_NODE,SALES,,COUNTRY_IN,22.6,79.0,IN,USD,CHANNEL,Y,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CHANNEL_IN_ECOM,India E-Commerce,CHANNEL_NODE,SALES,,COUNTRY_IN,22.6,79.0,IN,USD,CHANNEL,Y,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CHANNEL_CN_APPLE_ONLINE,China Apple Online,CHANNEL_NODE,SALES,,COUNTRY_CN,35.9,104.2,CN,USD,CHANNEL,Y,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CHANNEL_CN_ECOM,China E-Commerce,CHANNEL_NODE,SALES,,COUNTRY_CN,35.9,104.2,CN,USD,CHANNEL,Y,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CHANNEL_JP_APPLE_RETAIL,Japan Apple Retail,CHANNEL_NODE,SALES,,COUNTRY_JP,36.2,138.2,JP,USD,CHANNEL,Y,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CHANNEL_JP_CARRIER,Japan Carrier,CHANNEL_NODE,SALES,,COUNTRY_JP,36.2,138.2,JP,USD,CHANNEL,Y,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CHANNEL_SG_APPLE_ONLINE,Singapore Apple Online,CHANNEL_NODE,SALES,,COUNTRY_SG,1.35,103.82,SG,USD,CHANNEL,Y,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CHANNEL_TH_DISTRIBUTOR,Thailand Distributor,CHANNEL_NODE,SALES,,COUNTRY_TH,15.87,100.99,TH,USD,CHANNEL,Y,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CHANNEL_VN_DISTRIBUTOR,Vietnam Distributor,CHANNEL_NODE,SALES,,COUNTRY_VN,14.06,108.28,VN,USD,CHANNEL,Y,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CONSUMER_US_PREMIUM_EARLY,US Premium Early,CONSUMER_NODE,CONSUMPTION,,COUNTRY_US,37.1,-95.7,US,USD,MARKET,Y,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CONSUMER_US_MAINSTREAM,US Mainstream,CONSUMER_NODE,CONSUMPTION,,COUNTRY_US,37.1,-95.7,US,USD,MARKET,Y,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CONSUMER_CA_PREMIUM,Canada Premium,CONSUMER_NODE,CONSUMPTION,,COUNTRY_CA,56.1,-106.3,CA,USD,MARKET,Y,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CONSUMER_MX_VALUE,Mexico Value,CONSUMER_NODE,CONSUMPTION,,COUNTRY_MX,23.6,-102.5,MX,USD,MARKET,Y,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CONSUMER_DE_PREMIUM,Germany Premium,CONSUMER_NODE,CONSUMPTION,,COUNTRY_DE,51.2,10.4,DE,USD,MARKET,Y,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CONSUMER_FR_MAINSTREAM,France Mainstream,CONSUMER_NODE,CONSUMPTION,,COUNTRY_FR,46.2,2.2,FR,USD,MARKET,Y,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CONSUMER_UK_PREMIUM,UK Premium,CONSUMER_NODE,CONSUMPTION,,COUNTRY_UK,55.4,-3.4,GB,USD,MARKET,Y,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CONSUMER_IN_VALUE_SWITCHER,India Value Switcher,CONSUMER_NODE,CONSUMPTION,,COUNTRY_IN,22.6,79.0,IN,USD,MARKET,Y,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CONSUMER_IN_PREMIUM_ASPIRER,India Premium Aspirer,CONSUMER_NODE,CONSUMPTION,,COUNTRY_IN,22.6,79.0,IN,USD,MARKET,Y,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CONSUMER_CN_PREMIUM_EARLY,China Premium Early,CONSUMER_NODE,CONSUMPTION,,COUNTRY_CN,35.9,104.2,CN,USD,MARKET,Y,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CONSUMER_CN_MAINSTREAM,China Mainstream,CONSUMER_NODE,CONSUMPTION,,COUNTRY_CN,35.9,104.2,CN,USD,MARKET,Y,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CONSUMER_JP_REPLACEMENT,Japan Replacement,CONSUMER_NODE,CONSUMPTION,,COUNTRY_JP,36.2,138.2,JP,USD,MARKET,Y,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CONSUMER_SG_PREMIUM,Singapore Premium,CONSUMER_NODE,CONSUMPTION,,COUNTRY_SG,1.35,103.82,SG,USD,MARKET,Y,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CONSUMER_TH_VALUE,Thailand Value,CONSUMER_NODE,CONSUMPTION,,COUNTRY_TH,15.87,100.99,TH,USD,MARKET,Y,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CONSUMER_VN_YOUTH,Vietnam Youth Digital,CONSUMER_NODE,CONSUMPTION,,COUNTRY_VN,14.06,108.28,VN,USD,MARKET,Y,Y
