record_status,source_type,source_ref,confidence_level,owner_name,last_updated_at,remarks,capacity_id,capacity_object_type,object_id,capacity_kind,product_or_part_id,bucket_id,capacity_qty,capacity_uom,capacity_cost_penalty,overtime_flag
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CAP_ASM_INDIA_MAIN_2028W36,NODE,ASM_INDIA_MAIN,P_CAP,IPHONE_NM_2028_BASE,2028W36,180000,UNIT,12.5,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CAP_ASM_VIETNAM_MAIN_2028W36,NODE,ASM_VIETNAM_MAIN,P_CAP,IPHONE_NM_2028_BASE,2028W36,120000,UNIT,12.5,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CAP_RH_NA_2028W36,NODE,RH_NA,I_CAP,IPHONE_NM_2028_BASE,2028W36,300000,UNIT,2.0,N
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CAP_RH_EU_WEST_2028W36,NODE,RH_EU_WEST,I_CAP,IPHONE_NM_2028_BASE,2028W36,220000,UNIT,2.0,N
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CAP_RH_INDIA_2028W36,NODE,RH_INDIA,I_CAP,IPHONE_NM_2028_BASE,2028W36,140000,UNIT,2.0,N
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CAP_RH_CHINA_2028W36,NODE,RH_CHINA,I_CAP,IPHONE_NM_2028_BASE,2028W36,200000,UNIT,2.0,N
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CAP_RH_JAPAN_2028W36,NODE,RH_JAPAN,I_CAP,IPHONE_NM_2028_BASE,2028W36,120000,UNIT,2.0,N
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CAP_RH_SEA_2028W36,NODE,RH_SEA,I_CAP,IPHONE_NM_2028_BASE,2028W36,120000,UNIT,2.0,N
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CAP_ASM_CHINA_MAIN_2028W37,NODE,ASM_CHINA_MAIN,P_CAP,IPHONE_NM_2028_BASE,2028W37,231000,UNIT,12.5,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CAP_ASM_INDIA_MAIN_2028W37,NODE,ASM_INDIA_MAIN,P_CAP,IPHONE_NM_2028_BASE,2028W37,189000,UNIT,12.5,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CAP_ASM_VIETNAM_MAIN_2028W37,NODE,ASM_VIETNAM_MAIN,P_CAP,IPHONE_NM_2028_BASE,2028W37,126000,UNIT,12.5,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CAP_RH_NA_2028W37,NODE,RH_NA,I_CAP,IPHONE_NM_2028_BASE,2028W37,300000,UNIT,2.0,N
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CAP_RH_EU_WEST_2028W37,NODE,RH_EU_WEST,I_CAP,IPHONE_NM_2028_BASE,2028W37,220000,UNIT,2.0,N
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CAP_RH_INDIA_2028W37,NODE,RH_INDIA,I_CAP,IPHONE_NM_2028_BASE,2028W37,140000,UNIT,2.0,N
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CAP_RH_CHINA_2028W37,NODE,RH_CHINA,I_CAP,IPHONE_NM_2028_BASE,2028W37,200000,UNIT,2.0,N
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CAP_RH_JAPAN_2028W37,NODE,RH_JAPAN,I_CAP,IPHONE_NM_2028_BASE,2028W37,120000,UNIT,2.0,N
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CAP_RH_SEA_2028W37,NODE,RH_SEA,I_CAP,IPHONE_NM_2028_BASE,2028W37,120000,UNIT,2.0,N
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CAP_ASM_CHINA_MAIN_2028W38,NODE,ASM_CHINA_MAIN,P_CAP,IPHONE_NM_2028_BASE,2028W38,242000,UNIT,12.5,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CAP_ASM_INDIA_MAIN_2028W38,NODE,ASM_INDIA_MAIN,P_CAP,IPHONE_NM_2028_BASE,2028W38,198000,UNIT,12.5,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CAP_ASM_VIETNAM_MAIN_2028W38,NODE,ASM_VIETNAM_MAIN,P_CAP,IPHONE_NM_2028_BASE,2028W38,132000,UNIT,12.5,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CAP_RH_NA_2028W38,NODE,RH_NA,I_CAP,IPHONE_NM_2028_BASE,2028W38,300000,UNIT,2.0,N
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CAP_RH_EU_WEST_2028W38,NODE,RH_EU_WEST,I_CAP,IPHONE_NM_2028_BASE,2028W38,220000,UNIT,2.0,N
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CAP_RH_INDIA_2028W38,NODE,RH_INDIA,I_CAP,IPHONE_NM_2028_BASE,2028W38,140000,UNIT,2.0,N
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CAP_RH_CHINA_2028W38,NODE,RH_CHINA,I_CAP,IPHONE_NM_2028_BASE,2028W38,200000,UNIT,2.0,N
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CAP_RH_JAPAN_2028W38,NODE,RH_JAPAN,I_CAP,IPHONE_NM_2028_BASE,2028W38,120000,UNIT,2.0,N
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CAP_RH_SEA_2028W38,NODE,RH_SEA,I_CAP,IPHONE_NM_2028_BASE,2028W38,120000,UNIT,2.0,N
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CAP_ASM_CHINA_MAIN_2028W39,NODE,ASM_CHINA_MAIN,P_CAP,IPHONE_NM_2028_BASE,2028W39,242000,UNIT,12.5,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CAP_ASM_INDIA_MAIN_2028W39,NODE,ASM_INDIA_MAIN,P_CAP,IPHONE_NM_2028_BASE,2028W39,198000,UNIT,12.5,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CAP_ASM_VIETNAM_MAIN_2028W39,NODE,ASM_VIETNAM_MAIN,P_CAP,IPHONE_NM_2028_BASE,2028W39,132000,UNIT,12.5,Y
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CAP_RH_NA_2028W39,NODE,RH_NA,I_CAP,IPHONE_NM_2028_BASE,2028W39,300000,UNIT,2.0,N
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CAP_RH_EU_WEST_2028W39,NODE,RH_EU_WEST,I_CAP,IPHONE_NM_2028_BASE,2028W39,220000,UNIT,2.0,N
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CAP_RH_INDIA_2028W39,NODE,RH_INDIA,I_CAP,IPHONE_NM_2028_BASE,2028W39,140000,UNIT,2.0,N
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CAP_RH_CHINA_2028W39,NODE,RH_CHINA,I_CAP,IPHONE_NM_2028_BASE,2028W39,200000,UNIT,2.0,N
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CAP_RH_JAPAN_2028W39,NODE,RH_JAPAN,I_CAP,IPHONE_NM_2028_BASE,2028W39,120000,UNIT,2.0,N
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,CAP_RH_SEA_2028W39,NODE,RH_SEA,I_CAP,IPHONE_NM_2028_BASE,2028W39,120000,UNIT,2.0,N
